Material,Type,Young's Modulus (MPa),Poisson's Ratio,Density (kg/m³),Source / Standards,Last updated by,Stress-strain curve,File Link
Aluminum 6061-T6,Metal,69000,0.33,2700,ASTM B209,Sachin,,
Carbon Fiber Epoxy,Composite,135000,0.28,1550,Internal Testing,Sachin,,
Stainless Steel 304,Metal,193000,0.3,8000,ASM Handbook,Sachin,,
PP Unfilled,Plastic,,,,,,,
POM,Plastic,,,,,,,
Zamak 3,Metal,,,,,,,
AISI Steel,Metal,,,,,,,
Grey cast iron,Metal,,,,,,,
AL LY-12,Metal,,,,,,,
Silicon rubber,Rubber,,,,,,,
Glass,,,,,,,,
Molded pulp,,,,,,,,
EPS,,,,,,,,
